Date_ymd,mean_temp,max_temp,min_temp,mean_pH,max_pH,min_pH,mean_SpCond,max_SpCond,min_SpCond,mean_Turbidity,max_Turbidity,min_Turbidity,mean_CHLa,max_CHLa,min_CHLa,mean_ODOsat,max_ODOsat,min_ODOsat,mean_ODOmgL,max_ODOmgL,min_ODOmgL
2013-06-12,25.835625,27.52,24.83,7.686770833333333,8.36,7.06,152.875,159,131,27.69375,37.9,15.6,13.590625,20.4,8.6,103.78645833333333,126.1,88.2,8.339909986498961,9.939943519976763,7.213690168223533
2013-06-13,26.328020833333333,27.71,25.09,7.518125,8.09,7.21,140.1875,156,120,30.139583333333334,54.2,18.4,12.515625,20.5,6.7,100.67916666666666,121.6,86.6,8.01855070421812,9.493308193387367,6.990134698701837
2013-06-14,24.3640625,25.07,23.56,7.462916666666667,7.72,6.99,131.91666666666666,145,124,26.728125,39.7,15,8.553125,13.5,5.4,92.43229166666667,104.3,74,7.649250451618471,8.556663471842759,6.045355887329424
2013-06-15,24.521041666666665,26.72,23.51,7.667916666666667,8.48,7.15,142.89583333333334,155,130,23.188541666666666,35.2,15,10.355208333333334,18.2,6.5,101.88854166666667,133.2,80,8.392900324523824,10.567455557260791,6.723268885384176
2013-06-16,25.516875,26.7,24.53,8.002916666666666,8.56,7.28,153.25,164,147,23.138541666666665,35.3,14.7,13.467708333333333,18.2,9.6,114.9375,136.8,91,9.296316827091193,10.83040881528851,7.446972685058042
2013-06-17,25.751875,27.48,25,7.9609375,8.77,7.17,144.91666666666666,152,140,23.772916666666667,38.9,13.9,14.7625,21.1,11.2,110.16875,149.7,81.1,8.870716560071074,11.676048384661843,6.5736925593628115
2013-06-18,25.5871875,26.18,25.12,7.932604166666667,8.63,7.21,139.39583333333334,143,135,20.765625,32.5,11.5,15.41875,21.6,10.4,109.16875,132.6,86.8,8.823448358122764,10.59986846333664,7.080195831595105
2013-06-19,25.0240625,25.71,24.17,7.952083333333333,8.62,7.42,139.41666666666666,145,131,18.76354166666667,28.9,10.7,15.519791666666666,25.8,9.8,110.865625,142.3,92.4,9.055300818192533,11.477354348170115,7.640330722370206
2013-06-20,25.1828125,26.84,23.66,8.2659375,8.95,7.33,138.34375,145,134,18.722916666666666,25.5,12.8,18.060416666666665,24.1,11.9,124.2875,154.5,95.1,10.10402033597325,12.27580487776125,7.978341436907223
2013-06-21,25.416875,26.87,23.95,8.4378125,8.95,7.63,144.91666666666666,150,140,19.852083333333333,55.6,9.2,19.01354166666667,24.1,12.4,130.09895833333334,160.1,106.7,10.5342994565966,12.665468692443158,8.85511102926959
2013-06-22,25.844895833333332,26.71,24.94,8.2928125,8.75,7.65,146.46875,151,141,22.490625,34.7,11.2,20.803125,25.5,15,125.45,143.2,104.4,10.085810766062965,11.345683138930397,8.52559029280093
